# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
0.0153        	1.206714e-01	2.184082e-03	3.065072e-03
0.0154        	1.193627e-01	2.169120e-03	3.058312e-03
0.0155        	1.180836e-01	2.160292e-03	3.053606e-03
0.0156        	1.169300e-01	2.156121e-03	3.051594e-03
0.0157        	1.156116e-01	2.154142e-03	3.051648e-03
0.0158        	1.144610e-01	2.154691e-03	3.061633e-03
0.0159        	1.136908e-01	2.150219e-03	3.063310e-03
0.016         	1.134520e-01	2.145580e-03	3.061782e-03
0.0161        	1.146540e-01	2.140107e-03	3.056908e-03
0.0162        	1.152236e-01	2.133680e-03	3.051406e-03
0.0163        	1.175664e-01	2.126443e-03	3.044377e-03
0.0164        	1.221615e-01	2.119727e-03	3.037176e-03
0.0165        	1.293297e-01	2.110901e-03	3.024840e-03
0.0166        	1.345727e-01	2.101727e-03	3.012717e-03
0.0167        	1.358483e-01	2.092446e-03	3.001135e-03
0.0168        	1.348085e-01	2.085785e-03	2.991488e-03
0.0169        	1.332560e-01	2.079900e-03	2.983303e-03
0.017         	1.292518e-01	2.070341e-03	2.972967e-03
0.0171        	1.256456e-01	2.058840e-03	2.960277e-03
0.0172        	1.216384e-01	2.048649e-03	2.948216e-03
0.0173        	1.186702e-01	2.039941e-03	2.937792e-03
0.0174        	1.171298e-01	2.030372e-03	2.927794e-03
0.0175        	1.165965e-01	2.021205e-03	2.916275e-03
0.0176        	1.152939e-01	2.010801e-03	2.903841e-03
0.0177        	1.134746e-01	2.004090e-03	2.890748e-03
0.0178        	1.117341e-01	2.005346e-03	2.880924e-03
0.0179        	1.105523e-01	2.000302e-03	2.868780e-03
0.018         	1.100505e-01	1.994046e-03	2.854917e-03
0.0181        	1.098885e-01	1.986945e-03	2.842362e-03
0.0182        	1.114664e-01	1.979510e-03	2.829115e-03
0.0183        	1.121873e-01	1.973163e-03	2.815937e-03
0.0184        	1.122727e-01	1.966090e-03	2.802174e-03
0.0185        	1.127286e-01	1.957978e-03	2.789141e-03
0.0186        	1.126889e-01	1.949855e-03	2.777926e-03
0.0187        	1.131364e-01	1.942262e-03	2.765902e-03
0.0188        	1.139877e-01	1.934331e-03	2.753453e-03
0.0189        	1.148781e-01	1.926187e-03	2.740893e-03
0.019         	1.166735e-01	1.918284e-03	2.729138e-03
0.0191        	1.186757e-01	1.910688e-03	2.716914e-03
0.0192        	1.200832e-01	1.901637e-03	2.710291e-03
0.0193        	1.193987e-01	1.893079e-03	2.705404e-03
0.0194        	1.184651e-01	1.886483e-03	2.701058e-03
0.0195        	1.190359e-01	1.879177e-03	2.695500e-03
0.0196        	1.205716e-01	1.871948e-03	2.691443e-03
0.0197        	1.234417e-01	1.864449e-03	2.685824e-03
0.0198        	1.388392e-01	1.855567e-03	2.682431e-03
0.0199        	1.266527e-01	1.846832e-03	2.675156e-03
0.02          	1.223291e-01	1.837928e-03	2.666874e-03
0.0201        	1.188698e-01	1.828836e-03	2.659894e-03
0.0202        	1.169375e-01	1.819880e-03	2.652507e-03
0.0203        	1.157464e-01	1.811034e-03	2.644746e-03
0.0204        	1.143506e-01	1.803649e-03	2.636580e-03
0.0205        	1.138057e-01	1.796483e-03	2.628977e-03
0.0206        	1.147309e-01	1.790846e-03	2.619791e-03
0.0207        	1.182574e-01	1.785676e-03	2.608751e-03
0.0208        	1.178392e-01	1.780527e-03	2.596964e-03
0.0209        	1.158305e-01	1.775440e-03	2.586481e-03
0.021         	1.149323e-01	1.770416e-03	2.575164e-03
0.0211        	1.128660e-01	1.767204e-03	2.564298e-03
0.0212        	1.104801e-01	1.762294e-03	2.550957e-03
0.0213        	1.077009e-01	1.755450e-03	2.536210e-03
0.0214        	1.047480e-01	1.748143e-03	2.520693e-03
0.0215        	1.026278e-01	1.740694e-03	2.506395e-03
0.0216        	1.023409e-01	1.732569e-03	2.493142e-03
0.0217        	1.022018e-01	1.724474e-03	2.482081e-03
0.0218        	1.015482e-01	1.716662e-03	2.472528e-03
0.0219        	1.007770e-01	1.709851e-03	2.463429e-03
0.022         	1.003521e-01	1.703184e-03	2.454589e-03
0.0221        	1.008305e-01	1.696621e-03	2.446073e-03
0.0222        	1.063243e-01	1.689786e-03	2.438092e-03
0.0223        	1.044822e-01	1.682541e-03	2.429765e-03
0.0224        	1.017341e-01	1.675628e-03	2.420664e-03
0.0225        	9.941064e-02	1.669082e-03	2.412255e-03
0.0226        	9.702569e-02	1.662408e-03	2.403227e-03
0.0227        	9.471644e-02	1.655773e-03	2.392065e-03
0.0228        	9.311145e-02	1.649458e-03	2.379067e-03
0.0229        	9.759406e-02	1.643343e-03	2.365913e-03
0.023         	9.752307e-02	1.637368e-03	2.352799e-03
0.0231        	9.826241e-02	1.631317e-03	2.340465e-03
0.0232        	9.868415e-02	1.625053e-03	2.330520e-03
0.0233        	9.885789e-02	1.618363e-03	2.321271e-03
0.0234        	9.702016e-02	1.610935e-03	2.312384e-03
0.0235        	9.360937e-02	1.603017e-03	2.304404e-03
0.0236        	9.166437e-02	1.594422e-03	2.297506e-03
0.0237        	9.136345e-02	1.585513e-03	2.291721e-03
0.0238        	9.046547e-02	1.576810e-03	2.286388e-03
0.0239        	8.914088e-02	1.567914e-03	2.281290e-03
0.024         	8.782576e-02	1.559053e-03	2.276564e-03
